1004434851-b9a22 | http://is15.auto.ru/all/images/cc/6d/60x45/cc6d874e.jpg |  BMW 3er V (E9x) Рестайлинг 318i2.0 AT (136 л.с.)  | #FFFFFF | 1 116 000 |  2010  |  108 179 км  |  2.0 AT (136 л.с.)седан, бензин, задний  | Москва | 26.12.14
1005754027-dff0 | http://is9.auto.ru/all/images/86/f7/60x45/86f73499.jpg |  BMW 3er IV (E46) Рестайлинг 318i2.0 AT (143 л.с.)  | #CACECB | 325 000 |  2002  |  217 000 км  |  2.0 AT (143 л.с.)седан, бензин, задний  | Москва | 26.12.14
1005734215-46153 | http://is1.auto.ru/all/images/1a/a5/60x45/1aa5cb8e.jpg |  BMW 3er IV (E46) Рестайлинг 318i2.0 AT (143 л.с.)  | #000000 | 480 000 |  2003  |  130 000 км  |  2.0 AT (143 л.с.)седан, бензин, задний  | Краснодар | 26.12.14
1003419756-ce9b | http://is3.auto.ru/all/images/53/49/60x45/53495c81.jpg |  BMW 3er V (E9x) 335i3.0 AT (306 л.с.)  | #000000 | 790 000 |  2006  |  80 000 км  |  3.0 AT (306 л.с.)купе, бензин, задний  | Москва | 26.12.14
1002163009-ef4e0d | /i/all7/img/no-photo-thumb.gif |  BMW 3er VI (F3x) 320d2.0d AT (184 л.с.)  | #000000 | 1 670 000 |  2012  |  21 000 км  |  2.0d AT (184 л.с.)седан, дизель, задний  | Волгоград | 26.12.14
1005759703-3ec45c | http://is15.auto.ru/all/images/5c/bb/60x45/5cbb461b.jpg |  BMW 3er IV (E46) 318i1.9 MT (118 л.с.)  | #CACECB | 315 000 |  1998  |  200 000 км  |  1.9 MT (118 л.с.)седан, бензин, задний  | Владимир | 26.12.14
1003774752-5f844 | http://is2.auto.ru/all/images/f7/81/60x45/f7812547.jpg |  BMW 3er V (E9x) 320i2.0 AT (156 л.с.)  | #FF0000 | 1 200 000 |  2011  |  36 000 км  |  2.0 AT (156 л.с.)купе, бензин, задний  | Санкт-Петербург | 26.12.14
47788274-a67f | /i/all7/img/no-photo-thumb.gif |  BMW 3er IV (E46) 320i2.2 AT (170 л.с.)  | #0000FF | 370 000 |  2004  |  185 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Москва | 27.12.14
1005750669-1bb4d | http://is1.auto.ru/all/images/25/3c/60x45/253c514a.jpg |  BMW 3er V (E9x) 318i2.0 MT (136 л.с.)  | #000000 | 650 000 |  2007  |  161 000 км  |  2.0 MT (136 л.с.)седан, бензин, задний  | Кумертау | 27.12.14
1003210014-9786b | http://is8.auto.ru/all/images/13/e7/60x45/13e74721.jpg |  BMW 3er IV (E46) Рестайлинг 318i2.0 AT (143 л.с.)  | #000000 | 420 000 |  2004  |  111 000 км  |  2.0 AT (143 л.с.)седан, бензин, задний  | Москва | 27.12.14
1005806443-af354 | http://is2.auto.ru/all/images/0f/58/60x45/0f58b65f.jpg |  BMW 3er III (E36) 318i1.8 AT (113 л.с.)  | #0000FF | 139 000 |  1992  |  320 000 км  |  1.8 AT (113 л.с.)седан, бензин, задний  | Киров | 27.12.14
1005807835-362b4 | http://is9.auto.ru/all/images/44/da/60x45/44dafb2d.jpg |  BMW 3er IV (E46) Рестайлинг 325i2.5 MT (192 л.с.)  | #000000 | 882 900 |  2004  |  205 000 км  |  2.5 MT (192 л.с.)купе, бензин, задний  | Минск | 27.12.14
1005807239-54fc7 | http://is15.auto.ru/all/images/47/63/60x45/47634d10.jpg |  BMW 3er V (E9x) 325i2.5 AT (218 л.с.)  | #9c9999 | 1 050 000 |  2007  |  111 111 км  |  2.5 AT (218 л.с.)кабриолет, бензин, задний  | Краснодар | 27.12.14
1005809333-486113 | http://is1.auto.ru/all/images/9a/bd/60x45/9abd7833.jpg |  BMW 3er V (E9x) Рестайлинг 320i2.0 AT (156 л.с.)  | #FFFFFF | 850 000 |  2008  |  120 000 км  |  2.0 AT (156 л.с.)седан, бензин, задний  | Пятигорск | 27.12.14
1005810317-2a2d4 | http://is3.auto.ru/all/images/0e/2f/60x45/0e2f6e0f.jpg |  BMW 3er IV (E46) 320d2.0d MT (150 л.с.)  | #CACECB | 310 000 |  2000  |  290 000 км  |  2.0d MT (150 л.с.)универсал, дизель, задний  | Тверь | 27.12.14
1005810881-497f54 | /i/all7/img/no-photo-thumb.gif |  BMW 3er VI (F3x) 320i2.0 AT (184 л.с.)  | #926547 | 1 650 000 |  2012  |  8 000 км  |  2.0 AT (184 л.с.)седан, бензин, задний  | Ставрополь | 27.12.14
47853610-a584 | http://is2.auto.ru/all/images/86/ab/60x45/86ab1a8d.jpg |  BMW 3er IV (E46) 320i2.2 AT (170 л.с.)  | #000000 | 380 000 |  2004  |  176 000 км  |  2.2 AT (170 л.с.)седан, бензин, задний  | Саратов | 27.12.14
1005812067-ea8ec2 | http://is2.auto.ru/all/images/82/35/60x45/8235f553.jpg |  BMW 3er II (E30) 320i2.0 MT (129 л.с.)  | #000000 | 130 000 |  1986  |  424 000 км  |  2.0 MT (129 л.с.)седан, бензин, задний  | Сергиев Посад | 27.12.14
42442548-bd997 | http://is2.auto.ru/all/images/b7/e9/60x45/b7e9e9ba.jpg |  BMW 3er V (E9x) 318d2.0d MT (143 л.с.)  | #9c9999 | 990 000 |  2009  |  51 000 км  |  2.0d MT (143 л.с.)седан, дизель, задний  | Москва | 27.12.14
38657030-1543f | http://is2.auto.ru/all/images/75/8f/60x45/758f053a.jpg |  BMW 3er V (E9x) 318d2.0d MT (143 л.с.)  | #CACECB | 800 000 |  2008  |  82 000 км  |  2.0d MT (143 л.с.)седан, дизель, задний  | Краснодар | 28.12.14
