49169236-22449b | http://is15.auto.ru/all/images/76/30/60x45/76301501.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #000000 | 490 000 |  2011  |  36 500 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Кодинск | 30.12.14
1005170209-3eaf | http://is3.auto.ru/all/images/4d/a1/60x45/4da14d6a.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #926547 | 470 000 |  2011  |  83 500 км  |  1.6 MT (123 л.с.)хэтчбек, бензин, передний  | Москва | 31.12.14
1006067683-ac04 | http://is13.auto.ru/all/images/a4/31/60x45/a4319019.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #0088ff | 505 000 |  2013  |  50 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Павловский Посад | 01.01.15
1006067921-eb7474 | http://is2.auto.ru/all/images/b9/21/60x45/b92123fa.jpg |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #000000 | 737 000 |  2014  |  8 057 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 01.01.15
1005863081-390bb7 | http://is13.auto.ru/all/images/4b/07/60x45/4b073442.jpg |  Hyundai Solaris I1.4 MT (107 л.с.)  | #FFFFFF | 400 000 |  2011  |  49 000 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Архангельск | 02.01.15
1003265262-bd7ee1 | http://is9.auto.ru/all/images/9f/3f/60x45/9f3f65e9.jpg |  Hyundai Solaris I1.4 AT (107 л.с.)  | #9c9999 | 463 000 |  2011  |  57 000 км  |  1.4 AT (107 л.с.)седан, бензин, передний  | Москва | 02.01.15
35162778-a8b0 | http://is18.auto.ru/all/images/1a/05/60x45/1a055b70.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #FFFFFF | 580 000 |  2012  |  50 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Москва | 02.01.15
48334898-e1429 | http://is7.auto.ru/all/images/9e/bf/60x45/9ebf9fd3.jpg |  Hyundai Solaris I1.6 MT (123 л.с.)  | #FFFFFF | 580 000 |  2012  |  50 000 км  |  1.6 MT (123 л.с.)седан, бензин, передний  | Егорьевск | 02.01.15
1006109327-b3ce4a | http://is17.auto.ru/all/images/cd/ed/60x45/cded4ba6.jpg |  Hyundai Solaris I Рестайлинг1.6 AT (123 л.с.)  | #FFFFFF | 823 500 |  2014  |  10 км  |  1.6 AT (123 л.с.)седан, бензин, передний  | Москва | 02.01.15
1004146917-cef5 | http://is4.auto.ru/all/images/49/e2/60x45/49e2a635.jpg |  Hyundai Solaris I Рестайлинг1.4 MT (107 л.с.)  | #9c9999 | 497 000 |  2014  |  1 111 км  |  1.4 MT (107 л.с.)седан, бензин, передний  | Воронеж | 02.01.15
