1007281611-a3d24 | http://is2.auto.ru/all/images/af/66/60x45/af66490a.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #CACECB | 695 000 |  2009  |  73 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280309-742b1 | http://is8.auto.ru/all/images/af/56/60x45/af561530.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #000000 | 954 000 |  2012  |  49 088 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280545-04c1 | http://is15.auto.ru/all/images/8e/44/60x45/8e44ccf7.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #9c9999 | 575 000 |  2006  |  126 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280323-c8fa8 | http://is10.auto.ru/all/images/ab/46/60x45/ab46be3e.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #ffefd5 | 605 000 |  2006  |  106 684 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280541-79046 | http://is3.auto.ru/all/images/e9/8e/60x45/e98e7098.jpg |  Nissan X-Trail II2.0d MT (150 л.с.) 4WD  | #0000FF | 735 000 |  2009  |  67 000 км  |  2.0d MT (150 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007280109-7131c5 | http://is13.auto.ru/all/images/c8/91/60x45/c891de67.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #9c9999 | 944 900 |  2012  |  45 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005420789-a113f2 | http://is15.auto.ru/all/images/0e/e2/60x45/0ee22940.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #9c9999 | 669 000 |  2007  |  81 000 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005288791-9ac6c | http://is9.auto.ru/all/images/9b/2b/60x45/9b2b975d.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #9c9999 | 682 800 |  2004  |  98 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005241719-a2cf | http://is15.auto.ru/all/images/03/e3/60x45/03e3fe61.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #000000 | 759 000 |  2007  |  150 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006656221-8668 | http://is6.auto.ru/all/images/c1/f0/60x45/c1f04d6d.jpg |  Nissan X-Trail I2.0 MT (140 л.с.) 4WD  | #000000 | 735 066 |  2007  |  83 654 км  |  2.0 MT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279733-9523 | http://is9.auto.ru/all/images/8c/54/60x45/8c540b63.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #9966CC | 1 075 000 |  2011  |  66 000 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279723-1d8a | http://is14.auto.ru/all/images/a7/86/60x45/a7865523.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #9966CC | 1 695 000 |  2014  |  7 020 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279727-44c34 | http://is18.auto.ru/all/images/b5/fc/60x45/b5fc7be4.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #CACECB | 1 790 000 |  2014  |  1 500 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279725-abc8 | http://is4.auto.ru/all/images/8d/79/60x45/8d7951e6.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #000000 | 699 000 |  2007  |  94 150 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279729-a7bde | http://is5.auto.ru/all/images/da/7f/60x45/da7feaa6.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #ffefd5 | 715 000 |  2008  |  100 500 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279731-85ace | http://is7.auto.ru/all/images/44/a2/60x45/44a28a9a.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #000000 | 720 000 |  2008  |  106 051 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006712601-e1f1a9 | http://is3.auto.ru/all/images/0e/1d/60x45/0e1de2a6.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #CACECB | 1 049 000 |  2011  |  101 960 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279137-0d20b5 | http://is10.auto.ru/all/images/5d/af/60x45/5dafae01.jpg |  Nissan X-Trail II2.0 MT (140 л.с.) 4WD  | #CACECB | 495 000 |  2007  |  78 000 км  |  2.0 MT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007279135-3a19c8 | http://is10.auto.ru/all/images/01/3e/60x45/013e5960.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #CACECB | 505 000 |  2005  |  92 000 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278911-afdf56 | http://is12.auto.ru/all/images/7b/18/60x45/7b18bcf7.jpg |  Nissan X-Trail I2.0 AT (140 л.с.) 4WD  | #9c9999 | 554 000 |  2006  |  140 000 км  |  2.0 AT (140 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1006285477-6036 | http://is8.auto.ru/all/images/34/d7/60x45/34d76744.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #9c9999 | 999 000 |  2010  |  38 000 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278355-42cfd4 | http://is3.auto.ru/all/images/10/b5/60x45/10b5237c.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #000000 | 1 075 000 |  2011  |  79 429 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006001927-29b7 | http://is3.auto.ru/all/images/a2/7d/60x45/a27d95d2.jpg |  Nissan X-Trail II Рестайлинг2.5 CVT (169 л.с.) 4WD  | #CACECB | 1 099 000 |  2011  |  55 000 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278381-6b8a6 | http://is6.auto.ru/all/images/c8/e1/60x45/c8e15c31.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #000000 | 1 105 000 |  2012  |  68 521 км  |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278265-57f98e | http://is14.auto.ru/all/images/09/ac/60x45/09acd21c.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #34ba2b | 565 000 |  2005  |  112 298 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006711729-035023 | http://is9.auto.ru/all/images/69/b7/60x45/69b7214e.jpg |  Nissan X-Trail I2.5 AT (165 л.с.) 4WD  | #000000 | 599 000 |  2006  |  180 000 км  |  2.5 AT (165 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278281-222fae | http://is9.auto.ru/all/images/ff/ac/60x45/ffac3703.jpg |  Nissan X-Trail I2.0 AT (280 л.с.) 4WD  | #9c9999 | 735 000 |  2007  |  85 938 км  |  2.0 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278359-98b4 | http://is8.auto.ru/all/images/9a/1a/60x45/9a1a646b.jpg |  Nissan X-Trail II2.5 CVT (169 л.с.) 4WD  | #9966CC | 765 000 |  2008  |  191 483 км  |  2.5 CVT (169 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278347-602c7 | http://is2.auto.ru/all/images/69/9b/60x45/699b8587.jpg |  Nissan X-Trail II2.0 CVT (140 л.с.) 4WD  | #9c9999 | 895 000 |  2008  |  65 814 км  |  2.0 CVT (140 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005946185-7f14fe | http://is18.auto.ru/all/images/a9/8d/60x45/a98d077a.jpg |  Nissan X-Trail II Рестайлинг2.0 MT (141 л.с.) 4WD  | #000000 | 970 000 |  2012  |  59 172 км  |  2.0 MT (141 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 23.01.15
1007277309-aa9299 | http://is6.auto.ru/all/images/51/d6/60x45/51d6427d.jpg |  Nissan X-Trail II Рестайлинг2.0 CVT (141 л.с.) 4WD  | #000000 | 993 000 |  2014  | Новый |  2.0 CVT (141 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007276581-d945 | http://is2.auto.ru/all/images/e8/5b/60x45/e85bf3de.jpg |  Nissan X-Trail II Рестайлинг2.0 MT (141 л.с.) 4WD  | #FFFFFF | 1 033 000 |  2014  | Новый |  2.0 MT (141 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 23.01.15
1007277575-8e3a84 | http://is9.auto.ru/all/images/fc/c0/60x45/fcc06861.jpg |  Nissan X-Trail II Рестайлинг2.0 MT (141 л.с.) 4WD  | #9c9999 | 1 033 000 |  2014  | Новый |  2.0 MT (141 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 23.01.15
