1007269375-92021 | http://is15.auto.ru/all/images/0d/17/60x45/0d174c82.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #000000 | 1 890 000 |  2014  |  1 850 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Белгород | 23.01.15
1007269371-752e | http://is6.auto.ru/all/images/34/12/60x45/341220a4.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #FFFFFF | 1 900 000 |  2014  |  7 990 км  |  1.6 AT (156 л.с.)купе, бензин, задний  | Белгород | 23.01.15
1007269459-8332 | http://is18.auto.ru/all/images/c3/bf/60x45/c3bfc371.jpg |  Mercedes-Benz C-klasse III (W204) 2501.8 AT (204 л.с.)  | #9c9999 | 1 016 700 |  2009  |  87 007 км  |  1.8 AT (204 л.с.)седан, бензин, задний  | Москва | 23.01.15
1005467733-3f93 | /i/all7/img/no-photo-thumb.gif |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #000000 | 1 352 000 |  2011  |  30 967 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007265349-1ac2d8 | http://is8.auto.ru/all/images/b0/b0/60x45/b0b080d2.jpg |  Mercedes-Benz C-klasse III (W204) 2001.8 AT (184 л.с.)  | #000000 | 879 999 |  2010  |  99 021 км  |  1.8 AT (184 л.с.)седан, бензин, задний  | Санкт-Петербург | 23.01.15
1007265861-fc55 | http://is3.auto.ru/all/images/b1/fb/60x45/b1fbcefe.jpg |  Mercedes-Benz C-klasse IV (W205) 1801.6 AT (156 л.с.)  | #000000 | 1 400 000 |  2014  |  20 000 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007268591-8f2e7d | http://is11.auto.ru/all/images/4d/8c/60x45/4d8c2d0b.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #000000 | 1 400 000 |  2012  |  36 000 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Москва | 23.01.15
1007269063-6a4f | http://is12.auto.ru/all/images/70/4d/60x45/704d0cb8.jpg |  Mercedes-Benz C-klasse III (W204) Рестайлинг 1801.6 AT (156 л.с.)  | #926547 | 1 850 000 |  2014  |  24 500 км  |  1.6 AT (156 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007268583-1363 | http://is17.auto.ru/all/images/3d/fc/60x45/3dfc7023.jpg |  Mercedes-Benz C-klasse II (W203) 2301.8 AT (192 л.с.)  | #CACECB | 500 000 |  2005  |  128 000 км  |  1.8 AT (192 л.с.)седан, бензин, задний  | Москва | 23.01.15
1007265325-36e50 | http://is17.auto.ru/all/images/1a/19/60x45/1a19deed.jpg |  Mercedes-Benz C-klasse III (W204) 1801.8 AT (156 л.с.) BlueEFFICIENCY  | #000000 | 849 999 |  2009  |  84 000 км  |  1.8 AT (156 л.с.) BlueEFFICIENCYседан, бензин, задний  | Санкт-Петербург | 23.01.15
