1007271083-b48768 | http://is6.auto.ru/all/images/01/a6/60x45/01a6872c.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #FF9966 | 1 080 000 |  2011  |  50 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Подольск | 23.01.15
1007270025-66990 | http://is11.auto.ru/all/images/98/68/60x45/9868209a.jpg |  Kia Sportage III2.0 AT (150 л.с.)  | #9c9999 | 1 105 000 |  2014  |  14 730 км  |  2.0 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1005598415-9e4137 | http://is8.auto.ru/all/images/d1/9d/60x45/d19d1ce8.jpg |  Kia Sportage III2.0 AT (150 л.с.) 4WD  | #FFFFFF | 1 150 000 |  2012  |  45 000 км  |  2.0 AT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005402839-285f8c | http://is4.auto.ru/all/images/e6/d1/60x45/e6d11eda.jpg |  Kia Sportage III2.0d AT (184 л.с.) 4WD  | #FFFFFF | 1 199 000 |  2012  |  73 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007272133-049b | http://is7.auto.ru/all/images/54/27/60x45/542746eb.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #0000FF | 460 000 |  2009  |  87 300 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007271683-df5c89 | http://is16.auto.ru/all/images/6e/11/60x45/6e1104d6.jpg |  Kia Sportage II2.0 MT (142 л.с.)  | #9c9999 | 515 000 |  2008  |  75 000 км  |  2.0 MT (142 л.с.)внедорожник, бензин, передний  | Москва | 23.01.15
1007272601-6765 | http://is13.auto.ru/all/images/82/c4/60x45/82c41be8.jpg |  Kia Sportage II2.7 AT (175 л.с.) 4WD  | #CACECB | 530 000 |  2008  |  63 150 км  |  2.7 AT (175 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007272187-35b6db | http://is4.auto.ru/all/images/a5/d0/60x45/a5d098fc.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #9c9999 | 614 200 |  2009  |  85 125 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Казань | 23.01.15
1005662503-93ead2 | http://is10.auto.ru/all/images/3a/8e/60x45/3a8e9bc1.jpg |  Kia Sportage II Рестайлинг2.0 AT (142 л.с.) 4WD  | #000000 | 634 000 |  2009  |  105 580 км  |  2.0 AT (142 л.с.) 4WDвнедорожник, бензин, полный  | Краснодар | 23.01.15
1005941263-83c9 | http://is18.auto.ru/all/images/06/85/60x45/06859a79.jpg |  Kia Sportage II2.0d MT (112 л.с.) 4WD  | #000000 | 635 000 |  2007  |  82 198 км  |  2.0d MT (112 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1005277027-3458 | http://is17.auto.ru/all/images/5c/6b/60x45/5c6b0f7d.jpg |  Kia Sportage II Рестайлинг2.0 AT (142 л.с.) 4WD  | #0000FF | 669 000 |  2009  |  152 000 км  |  2.0 AT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007273943-df3b70 | http://is13.auto.ru/all/images/64/78/60x45/6478fb67.jpg |  Kia Sportage II2.0 MT (142 л.с.) 4WD  | #CACECB | 515 000 |  2008  |  85 396 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007273949-3c09e0 | http://is15.auto.ru/all/images/97/ec/60x45/97ec5434.jpg |  Kia Sportage II2.0 AT (142 л.с.) 4WD  | #CACECB | 520 000 |  2008  |  89 200 км  |  2.0 AT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007268059-0bb11c | http://is17.auto.ru/all/images/2c/c4/60x45/2cc41b99.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #FFFFFF | 535 000 |  2010  |  75 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007268043-df8f | http://is16.auto.ru/all/images/44/1a/60x45/441ab5cf.jpg |  Kia Sportage II Рестайлинг2.0 MT (142 л.с.) 4WD  | #000000 | 550 000 |  2010  |  63 000 км  |  2.0 MT (142 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
