1007275417-55b1 | http://is7.auto.ru/all/images/97/7c/60x45/977cf816.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #FFFFFF | 2 300 000 |  2013  |  4 600 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275361-f3ffad | http://is9.auto.ru/all/images/61/49/60x45/614980bc.jpg |  Kia Sorento II Рестайлинг2.0d AT (184 л.с.) 4WD  | #FFFFFF | 2 325 000 |  2014  |  6 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275351-75206 | http://is9.auto.ru/all/images/bb/74/60x45/bb74b4ff.jpg |  Kia Sorento II Рестайлинг2.0d AT (184 л.с.) 4WD  | #926547 | 2 330 000 |  2014  |  1 001 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275403-cd2ae1 | http://is8.auto.ru/all/images/53/ad/60x45/53addfdf.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #926547 | 2 340 000 |  2013  |  3 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275377-3693bc | http://is17.auto.ru/all/images/3c/42/60x45/3c425cc3.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #000000 | 2 350 000 |  2013  |  2 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275445-41377 | http://is8.auto.ru/all/images/e6/da/60x45/e6da0c04.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #FFFFFF | 2 350 000 |  2013  |  10 000 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275379-c5a2 | http://is13.auto.ru/all/images/07/fc/60x45/07fc67c0.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #926547 | 2 355 000 |  2014  |  1 001 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275447-826fe8 | http://is18.auto.ru/all/images/0e/bc/60x45/0ebcb0e1.jpg |  Kia Sorento II Рестайлинг2.2d AT (197 л.с.) 4WD  | #FFFFFF | 2 400 000 |  2014  |  1 001 км  |  2.2d AT (197 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007275449-b6b0 | http://is5.auto.ru/all/images/cc/e4/60x45/cce474da.jpg |  Kia Sorento II Рестайлинг2.0d AT (184 л.с.) 4WD  | #000000 | 2 460 000 |  2014  |  1 001 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Москва | 23.01.15
1007271073-4c84e | http://is18.auto.ru/all/images/35/e0/60x45/35e00af6.jpg |  Kia Sorento II2.0d AT (184 л.с.) 4WD  | #ffefd5 | 1 120 000 |  2010  |  107 000 км  |  2.0d AT (184 л.с.) 4WDвнедорожник, дизель, полный  | Подольск | 23.01.15
