1005586173-8c42 | http://is5.auto.ru/all/images/80/12/60x45/80129e3a.jpg |  Ford Focus I Рестайлинг2.0 AT (130 л.с.)  | #9c9999 | 300 000 |  2003  |  135 000 км  |  2.0 AT (130 л.с.)седан, бензин / газ, передний  | Люберцы | 23.12.14
1005585715-446f6 | http://is2.auto.ru/all/images/0b/39/60x45/0b39157c.jpg |  Ford Focus III1.6 MT (105 л.с.)  | #000000 | 500 000 |  2012  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Брянск | 23.12.14
1005586355-1944b7 | http://is8.auto.ru/all/images/72/2e/60x45/722e5273.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #000000 | 360 000 |  2009  |  69 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Екатеринбург | 23.12.14
1005586381-39339f | http://is1.auto.ru/all/images/20/39/60x45/2039d020.jpg |  Ford Focus III1.6 AT (125 л.с.)  | #000000 | 750 000 |  2013  |  25 000 км  |  1.6 AT (125 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.12.14
1005585943-85085 | http://is17.auto.ru/all/images/df/12/60x45/df12b43e.jpg |  Ford Focus II Рестайлинг1.6 AT (100 л.с.)  | #CACECB | 420 000 |  2008  |  100 000 км  |  1.6 AT (100 л.с.)седан, бензин, передний  | Москва | 23.12.14
1005588857-8222a5 | http://is3.auto.ru/all/images/1f/55/60x45/1f552b8a.jpg |  Ford Focus II1.8 MT (125 л.с.)  | #000000 | 315 000 |  2006  |  156 000 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Санкт-Петербург | 24.12.14
1005589357-d94096 | http://is13.auto.ru/all/images/a4/20/60x45/a4201949.jpg |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #0000FF | 355 000 |  2009  |  158 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Тверь | 24.12.14
1005632097-6f7419 | /i/all7/img/no-photo-thumb.gif |  Ford Focus II Рестайлинг1.8 MT (125 л.с.)  | #0000FF | 370 000 |  2010  |  115 700 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Люберцы | 24.12.14
1005632381-7876 | /i/all7/img/no-photo-thumb.gif |  Ford Focus II Рестайлинг1.6 AT (100 л.с.)  | #CACECB | 395 000 |  2008  |  90 000 км  |  1.6 AT (100 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
1005632753-7be2 | http://is16.auto.ru/all/images/55/10/60x45/551084fc.jpg |  Ford Focus II Рестайлинг1.6 MT (100 л.с.)  | #000000 | 400 000 |  2011  |  140 000 км  |  1.6 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 24.12.14
