1007253203-90aa | http://is12.auto.ru/all/images/d4/77/60x45/d4774fa5.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #926547 | 450 000 |  2006  |  200 000 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007250779-dc0f3a | http://is17.auto.ru/all/images/2d/04/60x45/2d04bfdb.jpg |  Toyota Avensis III1.8 MT (147 л.с.)  | #000000 | 800 000 |  2009  |  85 000 км  |  1.8 MT (147 л.с.)седан, бензин, передний  | Оленегорск | 22.01.15
1007252861-d497 | http://is15.auto.ru/all/images/e4/15/60x45/e4156093.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #CACECB | 500 000 |  2008  |  100 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Пенза | 22.01.15
1007252841-64adde | http://is15.auto.ru/all/images/3f/34/60x45/3f34d55c.jpg |  Toyota Avensis I Рестайлинг1.8 AT (129 л.с.)  | #CACECB | 350 000 |  2002  |  164 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Зеленоград | 22.01.15
1005391627-ec3bb | http://is2.auto.ru/all/images/85/3f/60x45/853f9c86.jpg |  Toyota Avensis I1.6 MT (110 л.с.)  | #34ba2b | 250 000 |  1998  |  230 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Зеленогорск | 22.01.15
1007251663-4c799 | http://is13.auto.ru/all/images/08/33/60x45/08333cf4.jpg |  Toyota Avensis II1.8 AT (129 л.с.)  | #CACECB | 470 000 |  2004  |  110 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006800791-ebe27 | http://is18.auto.ru/all/images/da/92/60x45/da92864b.jpg |  Toyota Avensis I Рестайлинг1.8 MT (129 л.с.)  | #0000FF | 275 000 |  2002  |  220 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Вологда | 22.01.15
1001231643-96909d | /i/all7/img/no-photo-thumb.gif |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #9c9999 | 580 000 |  2008  |  63 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Ярославль | 22.01.15
1006072715-0c2be | http://is18.auto.ru/all/images/92/29/60x45/9229752b.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #9c9999 | 750 000 |  2008  |  58 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Горячий Ключ | 22.01.15
1007249803-23fb00 | http://is1.auto.ru/all/images/d7/a9/60x45/d7a919ff.jpg |  Toyota Avensis II Рестайлинг2.4 AT (163 л.с.)  | #926547 | 450 000 |  2006  |  210 000 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1007250219-911b4 | http://is18.auto.ru/all/images/e8/2e/60x45/e82e43dc.jpg |  Toyota Avensis II Рестайлинг2.0d MT (126 л.с.)  | #9c9999 | 620 000 |  2008  |  120 000 км  |  2.0d MT (126 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007249135-dcf33 | http://is6.auto.ru/all/images/82/5a/60x45/825aa70e.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #CACECB | 505 000 |  2008  |  110 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Таганрог | 22.01.15
1007248985-43cbf | http://is18.auto.ru/all/images/7b/8d/60x45/7b8d98bb.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #CACECB | 415 000 |  2007  |  92 000 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007227981-4b45ea | http://is7.auto.ru/all/images/33/ae/60x45/33ae7aa0.jpg |  Toyota Avensis II Рестайлинг2.4 AT (163 л.с.)  | #CACECB | 522 222 |  2008  |  56 936 км  |  2.4 AT (163 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007249657-53a8 | http://is7.auto.ru/all/images/d3/fc/60x45/d3fcfac2.jpg |  Toyota Avensis II Рестайлинг1.8 AT (129 л.с.)  | #CACECB | 650 000 |  2007  |  68 500 км  |  1.8 AT (129 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007157231-1f07fc | http://is16.auto.ru/all/images/77/41/60x45/774156cc.jpg |  Toyota Avensis II1.8 MT (129 л.с.)  | #FF0000 | 420 000 |  2005  |  78 000 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 22.01.15
49852384-0ba2 | http://is12.auto.ru/all/images/02/66/60x45/026645f3.jpg |  Toyota Avensis II2.0 AT (147 л.с.)  | #000000 | 395 000 |  2003  |  110 000 км  |  2.0 AT (147 л.с.)седан, бензин, передний  | Дзержинский | 22.01.15
1007248229-0030 | http://is3.auto.ru/all/images/c6/ad/60x45/c6ad9469.jpg |  Toyota Avensis II Рестайлинг1.8 MT (129 л.с.)  | #9c9999 | 595 000 |  2008  |  75 480 км  |  1.8 MT (129 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007248015-aca0 | /i/all7/img/no-photo-thumb.gif |  Toyota Avensis I2.0 MT (128 л.с.)  | #0000FF | 250 000 |  1999  |  210 000 км  |  2.0 MT (128 л.с.)седан, бензин, передний  | Курск | 22.01.15
1005749285-6e639 | http://is3.auto.ru/all/images/c0/95/60x45/c09504ef.jpg |  Toyota Avensis II2.0 MT (147 л.с.)  | #ffefd5 | 530 000 |  2007  |  132 000 км  |  2.0 MT (147 л.с.)седан, бензин, передний  | Петрозаводск | 22.01.15
